iter	Passed	Remaining
570	26709	10852
571	26755	10805
572	26804	10759
573	26854	10713
574	26898	10665
575	26948	10620
576	26995	10573
577	27044	10527
578	27092	10481
579	27139	10434
580	27184	10387
581	27229	10339
582	27280	10294
583	27328	10248
584	27376	10201
585	27421	10154
586	27466	10107
587	27510	10059
588	27558	10012
589	27607	9966
590	27656	9920
591	27703	9874
592	27748	9826
593	27792	9778
594	27843	9733
595	27888	9686
596	27937	9640
597	27981	9592
598	28028	9545
599	28077	9499
600	28125	9453
601	28175	9407
602	28222	9360
603	28270	9314
604	28318	9267
605	28368	9222
606	28416	9175
607	28464	9129
608	28510	9082
609	28555	9034
610	28602	8988
611	28652	8942
612	28697	8894
613	28746	8848
614	28793	8802
615	28842	8755
616	28888	8708
617	28933	8661
618	28980	8614
619	29026	8567
620	29070	8519
621	29116	8472
622	29161	8425
623	29208	8378
624	29253	8331
625	29302	8285
626	29350	8238
627	29395	8191
628	29443	8145
629	29489	8097
630	29536	8051
631	29586	8005
632	29633	7958
633	29678	7911
634	29725	7864
635	29774	7818
636	29821	7771
637	29870	7725
638	29919	7678
639	29966	7632
640	30011	7584
641	30060	7538
642	30106	7491
643	30155	7445
644	30201	7398
645	30248	7351
646	30294	7304
647	30340	7257
648	30386	7210
649	30435	7164
650	30484	7117
651	30532	7071
652	30583	7025
653	30631	6978
654	30676	6931
655	30723	6884
656	30772	6838
657	30823	6792
658	30870	6745
659	30916	6698
660	30961	6651
661	31009	6604
662	31055	6557
663	31103	6511
664	31150	6464
665	31200	6418
666	31249	6371
667	31299	6325
668	31345	6278
669	31393	6231
670	31439	6184
671	31484	6137
672	31531	6090
673	31580	6044
674	31629	5997
675	31675	5950
676	31719	5903
677	31769	5857
678	31818	5810
679	31865	5763
680	31909	5716
681	31961	5670
682	32006	5623
683	32057	5577
684	32107	5530
685	32152	5483
686	32198	5436
687	32249	5390
688	32295	5343
689	32341	5296
690	32391	5250
691	32438	5203
692	32488	5156
693	32538	5110
694	32583	5063
695	32633	5016
696	32679	4969
697	32726	4923
698	32771	4875
699	32820	4829
700	32869	4782
701	32915	4735
702	32966	4689
703	33017	4643
704	33064	4596
705	33113	4549
706	33162	4503
707	33208	4455
708	33258	4409
709	33305	4362
710	33353	4315
711	33403	4269
712	33448	4222
713	33498	4175
714	33547	4128
715	33596	4082
716	33644	4035
717	33692	3988
718	33741	3941
719	33787	3894
720	33836	3848
721	33883	3801
722	33934	3754
723	33979	3707
724	34024	3660
725	34070	3613
726	34117	3566
727	34163	3519
728	34211	3472
729	34262	3426
730	34308	3379
731	34356	3332
732	34401	3285
733	34447	3238
734	34495	3191
735	34541	3144
736	34587	3097
737	34635	3050
738	34680	3003
739	34732	2956
740	34779	2910
741	34831	2863
742	34878	2816
743	34926	2769
744	34975	2722
745	35025	2676
746	35071	2629
747	35118	2582
748	35171	2535
749	35221	2489
750	35269	2442
751	35318	2395
752	35371	2348
753	35422	2302
754	35472	2255
755	35522	2208
756	35573	2161
757	35620	2114
758	35666	2067
759	35716	2020
760	35766	1973
761	35814	1927
762	35860	1879
763	35908	1833
764	35957	1786
765	36004	1739
766	36051	1692
767	36095	1644
768	36142	1597
769	36194	1551
770	36246	1504
771	36295	1457
772	36342	1410
773	36392	1363
774	36439	1316
775	36487	1269
776	36536	1222
777	36585	1175
778	36633	1128
779	36679	1081
780	36730	1034
781	36782	987
782	36829	940
783	36877	893
784	36929	846
785	36980	799
786	37032	752
787	37078	705
788	37123	658
789	37171	611
790	37221	564
791	37274	517
792	37319	470
793	37366	423
794	37416	376
795	37467	329
796	37516	282
797	37566	235
798	37613	188
799	37664	141
800	37711	94
801	37756	47
802	37805	0
