iter	Passed	Remaining
400	20178	6591
401	20225	6540
402	20271	6488
403	20320	6438
404	20368	6387
405	20419	6336
406	20472	6287
407	20523	6237
408	20571	6186
409	20617	6134
410	20663	6083
411	20714	6033
412	20765	5983
413	20813	5932
414	20863	5881
415	20915	5832
416	20962	5780
417	21014	5731
418	21066	5681
419	21115	5630
420	21163	5579
421	21211	5529
422	21260	5478
423	21311	5428
424	21361	5378
425	21412	5328
426	21461	5277
427	21513	5227
428	21562	5176
429	21611	5126
430	21666	5077
431	21720	5027
432	21773	4978
433	21822	4927
434	21876	4878
435	21924	4827
436	21978	4777
437	22029	4727
438	22078	4677
439	22130	4627
440	22180	4577
441	22230	4526
442	22280	4476
443	22331	4426
444	22379	4375
445	22425	4324
446	22469	4272
447	22515	4221
448	22563	4171
449	22609	4119
450	22659	4069
451	22708	4019
452	22768	3970
453	22819	3920
454	22866	3869
455	22914	3819
456	22963	3768
457	23014	3718
458	23064	3668
459	23114	3617
460	23164	3567
461	23215	3517
462	23269	3467
463	23320	3417
464	23371	3367
465	23419	3316
466	23466	3266
467	23514	3215
468	23568	3165
469	23615	3115
470	23664	3064
471	23715	3014
472	23764	2964
473	23809	2913
474	23862	2863
475	23911	2813
476	23965	2763
477	24011	2712
478	24063	2662
479	24108	2611
480	24159	2561
481	24210	2511
482	24261	2461
483	24310	2410
484	24355	2360
485	24407	2310
486	24461	2260
487	24512	2210
488	24559	2159
489	24608	2109
490	24660	2059
491	24707	2008
492	24753	1958
493	24802	1907
494	24857	1858
495	24907	1807
496	24956	1757
497	25006	1707
498	25061	1657
499	25109	1607
500	25158	1556
501	25210	1506
502	25257	1456
503	25306	1405
504	25357	1355
505	25406	1305
506	25452	1255
507	25502	1204
508	25553	1154
509	25603	1104
510	25657	1054
511	25705	1004
512	25759	954
513	25813	903
514	25864	853
515	25912	803
516	25959	753
517	26004	702
518	26053	652
519	26103	602
520	26153	552
521	26203	501
522	26248	451
523	26294	401
524	26342	351
525	26393	301
526	26441	250
527	26493	200
528	26541	150
529	26593	100
530	26639	50
531	26690	0
